"key","nb","en","tr"
"analyticsSessionOnly","Valget gjelder mens denne siden er åpen. Nettleseren kunne ikke lagre det til neste besøk.","Your choice applies while this page is open. Your browser could not save it for your next visit.","Tercihiniz bu sayfa açıkken geçerlidir. Tarayıcı bir sonraki ziyaret için kaydedemedi."
"signinFirst","Logg inn før du fyller ut skjemaet hvis du vil lagre. Innlogging laster siden på nytt og tømmer valgene. Du kan også prøve skjemaet uten å lagre.","Sign in before filling in the form if you want to save. Signing in reloads the page and clears your choices. You can also explore the form without saving.","Kaydetmek istiyorsanız formu doldurmadan önce giriş yapın. Giriş sırasında sayfa yenilenir ve seçimler silinir. Formu kaydetmeden de deneyebilirsiniz."
"loadRequestsError","Forespørslene kunne ikke hentes. Bruk Oppdater for å prøve igjen. Dette betyr ikke at de er slettet.","Your requests could not be loaded. Use Refresh to try again. This does not mean they have been deleted.","Talepleriniz yüklenemedi. Yenile düğmesiyle tekrar deneyin. Bu, kayıtların silindiği anlamına gelmez."
"staleRequest","Forespørselen er endret. Oppdater listen og se over den før du prøver igjen.","The request has changed. Refresh the list and review it before trying again.","Talep değişmiş. Listeyi yenileyin ve tekrar denemeden önce kontrol edin."
"deletionReview","Dataene er ikke slettet. En betaling eller tvist må gjennomgås av ansvarlig drift først.","Your data has not been deleted. Authorised operations staff must review a payment or dispute first.","Verileriniz silinmedi. Önce yetkili operasyon sorumlusunun ödeme veya itiraz kaydını incelemesi gerekiyor."
"journeyLabel","Forespørselen din","Your request","Talebiniz"
"fixFields","Se over disse feltene","Check these fields","Bu alanları kontrol edin"
"chooseServiceError","Velg hva du ønsker hjelp til.","Choose the help you would like.","İstediğiniz destek türünü seçin."
"chooseDateError","Velg en dato for besøket.","Choose a date for the visit.","Ziyaret için bir tarih seçin."
"chooseTimeError","Velg et klokkeslett.","Choose a time.","Bir saat seçin."
"futureTimeError","Velg en gyldig Oslo-tid fremover, innen 366 dager. Ved klokkestilling må du velge en entydig tid.","Choose a valid future Oslo time within 366 days. When clocks change, choose an unambiguous time.","Önümüzdeki 366 gün içinde geçerli bir Oslo saati seçin. Yaz/kış saati geçişinde tek bir zamana karşılık gelen saat kullanın."
"nameError","Skriv et testnavn.","Enter a test name.","Bir test adı yazın."
"postcodeError","Skriv et norsk postnummer med fire sifre.","Enter a four-digit Norwegian postcode.","Dört haneli Norveç posta kodu yazın."
"consentError","Bekreft at du selv ønsker besøket.","Confirm that you would like the visit.","Ziyareti istediğinizi onaylayın."
"editService","Endre hjelp","Edit help","Desteği değiştir"
"editTime","Endre tid","Edit time","Zamanı düzenle"
"editPerson","Endre person og valg","Edit person and choices","Kişi ve tercihleri düzenle"
"backToReview","Tilbake til oppsummeringen","Return to review","Özete dön"
"sharingPreference","Ønske om deling","Sharing preference","Paylaşım tercihi"
"sharingInactive","Deling er ikke aktivert i prøveversjonen. Valget lagres som et ønske. Ingen i familien får tilgang.","Sharing is not enabled in this preview. Your choice is saved as a preference. No family member gets access.","Bu önizlemede paylaşım etkin değildir. Seçiminiz tercih olarak kaydedilir. Aile üyelerine erişim verilmez."
"recipientPendingNotice","Denne forespørselen blir stående og vente på godkjenning fra den som får hjelp. Godkjenning fra en annen konto er ikke åpnet i prøveversjonen.","This request will wait for approval from the person receiving help. Approval from another account is not available in this preview.","Bu talep, yardım alan kişinin onayını bekleyecek. Bu önizlemede başka bir hesaptan onay verme açık değildir."
"requestScope","Praktisk hjelp, ikke helsehjelp","Practical help, not healthcare","Günlük destek; sağlık hizmeti değildir"
"nextAfterRequest","Hva skjer etterpå?","What happens next?","Sonrasında ne olur?"
"previewNextBody","Du kan se, endre eller avbestille testforespørselen i Min oversikt. Ingen hjelper blir sendt, og ingen betaling trekkes.","You can view, change or cancel the test request in My requests. No helper is dispatched and no payment is taken.","Test talebini Taleplerim bölümünde görebilir, değiştirebilir veya iptal edebilirsiniz. Yardımcı gönderilmez ve ödeme alınmaz."
"noAutomaticEmail","Ingen e-post sendes automatisk fra denne testen. Bekreftelsen vises her og i Min oversikt.","This test sends no automatic email. The receipt appears here and in My requests.","Bu test otomatik e-posta göndermez. Kayıt bilgisi burada ve Taleplerim bölümünde görünür."
"sharingNoneBody","Ingen besøksinformasjon deles.","No visit information is shared.","Ziyaret bilgileri paylaşılmaz."
"sharingDoneBody","En beskjed når det valgte besøket er ferdig.","A notice when the selected visit is complete.","Seçilen ziyaret tamamlandığında bildirim."
"sharingProgressBody","Hvem som kommer, og status for det valgte besøket.","Who is coming and the status of the selected visit.","Gelecek kişi ve seçilen ziyaretin durumu."
"sharingOverviewBody","Oversikt over tidligere og kommende besøk.","An overview of past and upcoming visits.","Geçmiş ve gelecek ziyaretlerin özeti."
"localDraftNote","Valgene beholdes når du går tilbake eller bytter språk her. De lagres ikke som kladd når siden lukkes eller lastes på nytt.","Choices stay when you go back or change language here. No draft is saved if you close or reload the page.","Burada geri dönerken veya dil değiştirirken seçimler korunur. Sayfayı kapatırsanız veya yenilerseniz taslak saklanmaz."
"previewPill","Testforespørsel","Test request","Test talebi"
"calendarTitle","Tid og kapasitet","Time and capacity","Zaman ve kapasite"
"calendarBody","Hvert tilbud holder av tiden i inntil 24 timer. Samme testressurs kan ikke ha besøk som overlapper. Det må være minst 15 minutter mellom besøk. En testressurs er ikke en godkjent hjelper.","Each quote holds the time for up to 24 hours. Visits for the same test resource cannot overlap and need a 15-minute gap. A test resource is not an approved helper.","Her teklif, zamanı en fazla 24 saat ayırır. Aynı test kaynağının ziyaretleri çakışamaz; arada en az 15 dakika gerekir. Test kaynağı, onaylı yardımcı değildir."
"resourceCode","Testressurs, for eksempel TEST-01","Test resource, for example TEST-01","Test kaynağı, örneğin TEST-01"
"holdUntil","Svar på tilbudet før","Respond to the quote before","Teklife yanıt için son zaman"
"holdExpired","Tilbudet har utløpt. Be om et nytt tilbud før du bekrefter.","This quote has expired. Request a new quote before confirming.","Teklifin süresi doldu. Onaylamadan önce yeni teklif isteyin."
"slotConflict","Tiden er opptatt, eller forespørselen er endret. Oppdater listen og velg en annen tid eller testressurs.","The time is occupied or the request has changed. Refresh the list and choose another time or test resource.","Saat dolu veya talep değişmiş. Listeyi yenileyip başka saat ya da test kaynağı seçin."
"cancelledSaved","Testforespørselen er avbestilt.","Test request cancelled.","Test talebi iptal edildi."
"acceptedSaved","Testtilbudet er godkjent. Ingen ekte hjelper er bestilt.","Test quote approved. No real helper has been booked.","Test teklifi onaylandı. Gerçek yardımcı rezerve edilmedi."
"paymentReview","Betalingen må kontrolleres før du fortsetter. Ikke opprett en ny betaling.","The payment needs review before you continue. Do not create another payment.","Devam etmeden önce ödeme incelenmeli. Yeni ödeme oluşturmayın."
"claimCase","Ta ansvar for saken","Take ownership of this case","Bu kaydı üstlen"
"caseMine","Du har ansvar for å følge opp saken.","You are responsible for following up this case.","Bu kaydın takibinden siz sorumlusunuz."
"caseUnassigned","Ingen har tatt saken ennå.","Nobody has taken this case yet.","Kaydı henüz kimse üstlenmedi."
"caseAssigned","Saken følges opp av en annen ansvarlig.","Another operator has taken this case.","Kaydı başka bir sorumlu üstlendi."
"caseReviewNote","Vurdert betyr at gjennomgangen er registrert. Det avslutter ikke tvisten, gir ikke refusjon og åpner ikke betaling.","Reviewed records the review. It does not settle the dispute, issue a refund or reopen payment.","İncelendi işareti, incelemeyi kaydeder. İtirazı sonuçlandırmaz, iade yapmaz veya ödemeyi yeniden açmaz."
"queueTitle","Varsler som venter","Notification queue","Bildirim kuyruğu"
"queueBody","Se meldingen før den sendes. Testmeldinger går bare til den testmottakeren som er satt opp. Ingen e-post sendes automatisk.","Preview each message. Test emails go only to the configured test recipient. No email is sent automatically.","Mesajı göndermeden önce görün. Test e-postaları yalnızca tanımlı test alıcısına gider. Otomatik e-posta gönderilmez."
"emailPreview","Forhåndsvisning","Preview","Önizleme"
"emailSend","Send til testmottaker","Send to test recipient","Test alıcısına gönder"
"emailSent","Mottatt av e-postleverandøren. Levering er ikke bekreftet.","Accepted by the email provider. Delivery has not been confirmed.","E-posta sağlayıcısı kabul etti. Teslimat doğrulanmadı."
"emailWait","Vent minst to minutter før et nytt forsøk. Etter tre forsøk eller 23 timer må utsendingen kontrolleres manuelt.","Wait at least two minutes before retrying. After three attempts or 23 hours, sending needs manual review.","Yeniden denemeden önce en az iki dakika bekleyin. Üç deneme veya 23 saatten sonra gönderim elle incelenmeli."
"queuePreview","Klar til forhåndsvisning","Ready to preview","Önizlemeye hazır"
"queueSending","Sendeforsøk pågår","Sending in progress","Gönderim sürüyor"
"queueFailed","Forsøket mislyktes","Attempt failed","Deneme başarısız"
"queueComplete","Fullført","Complete","Tamamlandı"
"queueReview","Krever manuell kontroll","Needs manual review","Elle inceleme gerekiyor"
"queuePending","Venter på behandling","Waiting for processing","İşlem bekliyor"
"expiryTitle","Stopp betalingslenken","Stop the checkout link","Ödeme bağlantısını durdur"
"retry","Prøv igjen","Retry","Yeniden dene"
"attempts","Antall forsøk","Attempts","Deneme sayısı"
"queueEmpty","Ingen varsler i køen.","No queued notifications.","Kuyrukta bildirim yok."
"feedbackTitle","Fant du informasjonen du trengte?","Did you find the information you needed?","Aradığınız bilgiyi buldunuz mu?"
"feedbackBody","Svaret er frivillig. Vi lagrer valgene dine og hvilken side du svarer på, uten å knytte dem til kontoen din. Dette er ikke en bestilling eller en melding til brukerstøtte.","Answering is optional. We save your choices and this page, without linking them to your account. This is not a booking or a support message.","Yanıtlamak isteğe bağlıdır. Seçimlerinizi ve yanıtladığınız sayfayı hesabınızla ilişkilendirmeden kaydederiz. Bu form rezervasyon veya destek mesajı oluşturmaz."
"feedbackYes","Ja","Yes","Evet"
"feedbackNo","Nei","No","Hayır"
"feedbackNext","Hva vil du vite mer om?","What would you like to know next?","Hangi konuda daha fazla bilgi istersiniz?"
"needNone","Ikke noe mer nå","Nothing else right now","Şimdilik başka bir konu yok"
"needPrices","Priser","Prices","Fiyatlar"
"needBooking","Slik bestiller du","How to book","Nasıl rezervasyon yapılır"
"needFamily","Familiens tilgang","Family access","Yakınların erişimi"
"needSafety","Hvem som kommer","Who will visit","Kimin geleceği"
"needSupport","Hvordan få kontakt","How to contact us","Nasıl iletişim kurulur"
"feedbackSend","Send svaret","Send feedback","Yanıtı gönder"
"feedbackSaved","Takk. Svaret er lagret.","Thank you. Your feedback is saved.","Teşekkürler. Yanıtınız kaydedildi."
"feedbackStats","Hva leserne ber om","What readers ask for","Okurların bilgi talepleri"
"feedbackStatsBody","Dette er frivillige svar, ikke en prognose for alle brukere. Bare grupper med minst fem svar vises. Testdata brukes ikke til å anslå etterspørsel.","These are voluntary responses, not a forecast for all users. Only groups with at least five responses are shown. Test data is not used to predict demand.","Bunlar gönüllü yanıtlardır; tüm kullanıcılar için tahmin değildir. En az beş yanıt içeren gruplar gösterilir. Test verileri talep tahmini için kullanılmaz."
"noFeedback","Ikke nok svar til å vise grupper ennå.","Not enough responses to show groups yet.","Grupları göstermek için henüz yeterli yanıt yok."
"retentionAction","Slett analysedata eldre enn 90 dager","Delete analytics older than 90 days","90 günden eski analiz verilerini sil"
"analyticsRetentionBody","Oversikten viser de siste 90 dagene. Sletting kjøres manuelt i denne testen. Automatisk sletting må settes opp før reell drift.","This view covers the last 90 days. Deletion is manual in this test. Automated deletion must be configured before live operation.","Bu görünüm son 90 günü kapsar. Testte silme elle çalıştırılır. Gerçek kullanımdan önce otomatik silme kurulmalıdır."
"operationSaved","Endringen er lagret.","Change saved.","Değişiklik kaydedildi."
"resolve","Marker saken som vurdert","Mark case as reviewed","Kaydı incelendi olarak işaretle"
"resolved","Vurdert","Reviewed","İncelendi"
"caseList","Saker som må følges opp","Cases needing follow-up","Takip gerektiren kayıtlar"
"contentStats","Innhold som brukes","Content engagement","İçerik etkileşimi"
"observations","Registrerte hendelser","Recorded events","Kaydedilen olaylar"
"smallSample","Grupper med færre enn fem hendelser vises ikke. Hendelser er ikke unike personer eller bevis på forståelse.","Groups with fewer than five events are hidden. Events are not unique people or proof of understanding.","Beşten az olay içeren gruplar gösterilmez. Olay sayısı, benzersiz kişi sayısı veya anlama kanıtı değildir."
"skip","Hopp til innhold","Skip to content","İçeriğe geç"
"home","Hjem","Home","Ana sayfa"
"services","Hjelp i hverdagen","Everyday help","Günlük destek"
"family","For pårørende","For families","Yakınlar için"
"safety","Trygghet","Safety","Güvenlik"
"helper","Bli hjelper","Become a helper","Yardımcı ol"
"account","Min oversikt","My requests","Taleplerim"
"booking","Be om hjelp","Request help","Yardım iste"
"menu","Meny","Menu","Menü"
"close","Lukk","Close","Kapat"
"pilot","Prøveversjon · bruk bare testopplysninger","Review version · use test details only","İnceleme sürümü · yalnızca test bilgileri kullanın"
"pilotShort","Under utvikling","In development","Geliştirme aşamasında"
"heroEyebrow","LITT HJELP. MER HVERDAG.","A LITTLE HELP. MORE EVERYDAY LIFE.","KÜÇÜK BİR DESTEK. DAHA RAHAT BİR GÜN."
"heroTitle","Hjemme er livet ditt.","Your life. Your home.","Hayatınız. Eviniz."
"heroAccent","Vi hjelper med hverdagen.","A little help along the way.","Günlük işlerde yanınızdayız."
"heroBody","En handletur. En tur ut. Hjelp med mobilen. Naviar er praktisk hjelp for deg som vil bo hjemme og bestemme selv.","Groceries. A walk outside. Help with your phone. Naviar offers practical help for people who want to live at home and make their own choices.","Alışveriş, kısa bir yürüyüş veya telefon kullanımı. Naviar, evinde yaşamak ve kendi kararlarını vermek isteyenlere günlük işlerde destek sunar."
"explore","Se hva du kan få hjelp til","Explore everyday help","Destek seçeneklerini gör"
"heroAlt","En eldre kvinne og en hjelper snakker sammen mens de pakker ut grønnsaker. Illustrasjonsbilde.","An older woman and a helper chat while unpacking vegetables. Illustrative image.","Yaşlı bir kadın ve yardımcı sebzeleri yerleştirirken sohbet ediyor. Temsili görsel."
"imageCaption","Plass til det som gjør dagen god.","Make room for a good day.","Günü güzelleştiren şeylere zaman ayırın."
"promise1","Du bestemmer","Your choice","Karar sizin"
"promise1Body","Hva du trenger, og hvem som får vite det.","What you need, and who gets to know.","İhtiyacınıza ve kimin bilgi alacağına siz karar verirsiniz."
"promise2","Prisen først","Price before you agree","Önce fiyat"
"promise2Body","Et pristilbud før en avtale bekreftes.","A quote before an appointment is confirmed.","Randevu onaylanmadan önce fiyat teklifi alırsınız."
"promise3","Mennesker, nær deg","People, nearby","Yakınınızdaki insanlar"
"promise3Body","Ønsk en fast hjelper når dere finner tonen.","Request a familiar helper when you find a good fit.","Anlaştığınız yardımcıyla devam etmeyi isteyebilirsiniz."
"serviceTitle","Hva vil gjøre dagen enklere?","What would make today easier?","Bugünü ne kolaylaştırır?"
"serviceIntro","Velg det du trenger hjelp til. Vi tilbyr praktisk hjelp, ikke helsehjelp.","Choose the help you need. This is practical support, not medical care.","İhtiyacınız olan desteği seçin. Tıbbi bakım değil, günlük işlerde yardım sunuyoruz."
"choose","Velg","Choose","Seç"
"allServices","Alle oppdragstyper","All types of help","Tüm destek seçenekleri"
"howTitle","Fra ønske til avtale","From a request to a visit","Talepten ziyarete"
"how1","Fortell hva du trenger","Tell us what you need","İhtiyacınızı belirtin"
"how1Body","Velg oppgave og ønsket tidspunkt. Du trenger ikke dele en diagnose.","Choose a task and a preferred time. You do not need to share a diagnosis.","İşi ve tercih ettiğiniz zamanı seçin. Tanı bilgisi paylaşmanız gerekmez."
"how2","Avklar hvem og hva","Agree on the details","Ayrıntıları netleştirin"
"how2Body","Den som får hjelp, godkjenner besøket og velger hva familien får se.","The person receiving help approves the visit and chooses what family can see.","Yardım alan kişi ziyareti onaylar ve ailesinin hangi bilgileri göreceğini seçer."
"how3","Godkjenn pris og tid","Approve the price and time","Fiyatı ve zamanı onaylayın"
"how3Body","Avtalen er først bekreftet når hjelper, tidspunkt og totalpris er avklart.","The visit is confirmed only after the helper, time and total price are agreed.","Yardımcı, saat ve toplam fiyat netleştikten sonra randevu kesinleşir."
"familyTitle","Vær nær, også på avstand.","Stay close, even from afar.","Uzakta olsanız da yanında olun."
"familyBody","Du kan foreslå hjelp og betale. Den som får hjelpen, bestemmer fortsatt over besøket og egne opplysninger.","You can suggest help and pay. The person receiving help still decides about visits and their information.","Yardım önerebilir ve ücretini ödeyebilirsiniz. Ziyaret ve kişisel bilgiler üzerindeki karar hakkı yardım alan kişide kalır."
"familyLink","Slik fungerer det for familien","How it works for families","Aileler için nasıl çalışır?"
"familyNote","Betaling gir ikke automatisk innsyn.","Paying does not automatically give access.","Ödeme yapmak otomatik bilgi erişimi sağlamaz."
"faq","Ofte stilte spørsmål","Common questions","Sık sorulan sorular"
"faq1","Kan jeg få samme hjelper?","Can I have the same helper?","Aynı yardımcıyla devam edebilir miyim?"
"faq1Body","Du kan ønske en fast hjelper. Personen må være ledig og kvalifisert for oppgaven. Vi sier fra før vi foreslår en annen.","You can request a familiar helper. They must be available and qualified for the task. We tell you before proposing someone else.","Sabit bir yardımcı isteyebilirsiniz. Kişinin müsait ve iş için yetkin olması gerekir. Başka birini önermeden önce size bilgi verilir."
"faq2","Hva koster det?","How much does it cost?","Ücreti ne kadar?"
"faq2Body","Prisene er ikke fastsatt i prøveversjonen. Du skal få totalpris og vilkår før du godkjenner en avtale.","Prices have not been set for this review version. You will receive a total price and terms before approving an appointment.","Bu inceleme sürümünde fiyatlar belirlenmedi. Randevuyu onaylamadan önce toplam fiyat ve koşullar gösterilecek."
"faq3","Tilbyr dere helsehjelp?","Do you provide medical care?","Tıbbi bakım sunuyor musunuz?"
"faq3Body","Nei. Medisinering, sårstell, personlig pleie og medisinske vurderinger er utenfor tjenesten.","No. Medication, wound care, personal care and medical assessments are outside this service.","Hayır. İlaç verme, yara bakımı, kişisel bakım ve tıbbi değerlendirme kapsam dışıdır."
"faq4","Må jeg dele posisjonen min?","Do I need to share my location?","Konumumu paylaşmam gerekiyor mu?"
"faq4Body","Nei. Vi ber om postnummer. Denne versjonen bruker ikke GPS og viser ikke personer på kart.","No. We ask for a postcode. This version does not use GPS or show people on a map.","Hayır. Posta kodunuzu soruyoruz. Bu sürüm GPS kullanmaz ve kişileri haritada göstermez."
"footer","Praktisk hjelp. På dine premisser.","Everyday help. On your terms.","Günlük destek. Sizin tercihlerinizle."
"privacy","Personvern","Privacy","Gizlilik"
"terms","Vilkår","Terms","Koşullar"
"cookies","Dine analysevalg","Analytics choices","Analiz tercihleri"
"operations","Drift og innsikt","Operations & insights","Operasyon ve ölçüm"
"contact","Kontakt og hjelp","Contact & help","İletişim ve yardım"
