no,title,name,path,description,note,bytes,sha256,source_path,source_version
DOC-01,Ana proje belgesi,NAVIAR-CARE_SRC03_Proje-Dokumantasyonu_v1.0.docx,01_PROJE_BELGELERI/NAVIAR-CARE_SRC03_Proje-Dokumantasyonu_v1.0.docx,"29 sayfalık, 23 bölümlük düzenlenebilir belge: geliştirme süreci, konsept, web sayfaları, teknik yapı, test kayıtları ve devir adımları.",Önce bu belgeyi okuyun.,68405,a7a543999d8d0af5464e23f9a63198cc1501fd441bc3959c54c0ae3dcb70ad76,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_SRC03_Proje-Dokumantasyonu_v1.0.docx,Sürüm numarası bildirilmedi
DOC-02,Ana belgenin metin kaynağı,NAVIAR-CARE_SRC03_Proje-Dokumantasyonu_v1.0.md,01_PROJE_BELGELERI/NAVIAR-CARE_SRC03_Proje-Dokumantasyonu_v1.0.md,Proje dokümantasyonunun düzenlenebilir Markdown kaynağı.,Word belgesiyle aynı dokümantasyon seti.,61323,e9a8f68a8e154fa075c6b0c1af4d41ef869cfd28e927bc7e152d5ca8705b0f0b,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_SRC03_Proje-Dokumantasyonu_v1.0.md,Sürüm numarası bildirilmedi
DOC-03,Tam konsept,NAVIAR-CARE_SRC03_Tam-Konsept.html,01_PROJE_BELGELERI/NAVIAR-CARE_SRC03_Tam-Konsept.html,"Hizmet modeli, kullanıcı yolculukları, iş modeli, operasyon, tasarım ve açılış planı; tarayıcıda okunabilir.",23 bölüm; hizmet tasarımı önerilerini de içerir.,45066,f336f5e1c10c5746b82f6deec3b328d9eac71021cb479ff554fe2d21745c6df8,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_SRC03_Tam-Konsept.html,Sürüm numarası bildirilmedi
DOC-04,Konseptin metin kaynağı,NAVIAR-CARE_SRC03_Tam-Konsept.md,01_PROJE_BELGELERI/NAVIAR-CARE_SRC03_Tam-Konsept.md,Tam konseptin düzenlenebilir Markdown kaynağı.,HTML konsept dosyasının kaynak metni.,33555,2d3d3a4c3072bb7eb81810f0651e72516869cb6a5f7618d99e83aa6d545cbbbb,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_SRC03_Tam-Konsept.md,Sürüm numarası bildirilmedi
DOC-05,Teslim ve önceki test kayıtları,NAVIAR-CARE_Profesyonel-Surum_Teslim.md,01_PROJE_BELGELERI/NAVIAR-CARE_Profesyonel-Surum_Teslim.md,"Sürüm 5 teslim durumu, özellikler, test kanıtları ve daha eski sürüm 2 kaydı.",Eski ve yeni test sayıları kendi sürümlerine göre okunmalı.,34908,f0c65eeef4534d7b8cc88e746953d39574315edd2bdd6dc327d8c5b6622c0dd0,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_Profesyonel-Surum_Teslim.md,2
DOC-06,İnceleme ve kurulum rehberi,NAVIAR-CARE_Kurulum-ve-Kabul.md,01_PROJE_BELGELERI/NAVIAR-CARE_Kurulum-ve-Kabul.md,"Test talebi, sorun bildirimi, e-posta/ödeme bağlantıları ve açılıştan önce tamamlanacak işler.",Tarihsel rehber; son durum için ana proje belgesi esas alınır.,10227,e7feda6661553d3249104af0f4f5385a3b109401e158e23324554d2e979f111d,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_Kurulum-ve-Kabul.md,Sürüm numarası bildirilmedi
DOC-07,Web tasarım süreci,NAVIAR-CARE_Web-Design-Platform-Studio_2026-09-05.md,01_PROJE_BELGELERI/NAVIAR-CARE_Web-Design-Platform-Studio_2026-09-05.md,"Platform değerlendirmesi, hizmet yolculuğu, tasarım kararları ve sürüm 3/4 teslim kayıtları.",Geliştirme geçmişi; sürüm 5 için güncel teslim belgesine bakın.,24549,fb8415daf6294f802d6280d46fc1f99f60dc510f28432af601c24b4e5c99dc7a,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_Web-Design-Platform-Studio_2026-09-05.md,1
DOC-08,Üç dilli web tasarımı,NAVIAR-CARE_SRC03_Web-Tasarim.html,02_WEB_VE_ICERIK/NAVIAR-CARE_SRC03_Web-Tasarim.html,"Norveççe, İngilizce ve Türkçe; tarayıcıda doğrudan açılabilen bağımsız tasarım önizlemesi.","Gerçek rezervasyon, ödeme veya e-posta oluşturmaz.",352501,9ff209374c48729cf3d77a3211e31b19c5f86acdb201ec0cb016e95a2d0983de,/NAVIAR CARE/04_WEB_KAYNAKLARI/SRC-03/NAVIAR-CARE_SRC03_Web-Tasarim.html,Sürüm numarası bildirilmedi
DOC-09,Üç dilli içerik kataloğu,NAVIAR-CARE_Icerik_NB-EN-TR.csv,02_WEB_VE_ICERIK/NAVIAR-CARE_Icerik_NB-EN-TR.csv,"301 benzersiz içerik kaydı; key, nb, en, tr sütunları.",301 kayıt bu turda sayıldı; tüm dil alanları dolu.,46447,e1fd19fe3ef487320a06b4ee68337e629152cc3d29b4d1f0171f20c2466a60c4,/NAVIAR CARE/01_BELGELER/NAVIAR-CARE_Icerik_NB-EN-TR.csv,2
DOC-10,Proje düzeninin arşiv öncesi kopyası,NAVIAR-CARE_PROJE-DUZENI.md,03_KAYITLAR/NAVIAR-CARE_PROJE-DUZENI.md,NAVIAR CARE ailesinin klasör standardı ve SRC-03 geliştirme kayıtları.,Ortak geçmiş kaydıdır; diğer CARE projelerine ait bölümler de vardır.,16769,c0b7300682f6ef65c960947468acfc26f587a0d9f7509b3a53e842012e18e9e4,/NAVIAR CARE/NAVIAR-CARE_PROJE-DUZENI.md,3
REC-11,Web ve kod sürüm kaydı,WEB-VE-KOD-KAYDI.md,03_KAYITLAR/WEB-VE-KOD-KAYDI.md,"Güncel web adresleri, kayıtlı 5 sürüm, kaynak revizyonları ve kodun geri erişim açıklaması.",Bu arşivleme turunda oluşturuldu.,3527,1985ad4c2030532bd938d0bd9a175fe77afa51b3f4cafcb143b29f2d59e44f23,Arşiv çalışması,1.0
REC-12,Kaynak kod dosya listesi,KOD-DOSYA-LISTESI.csv,03_KAYITLAR/KOD-DOSYA-LISTESI.csv,"Önceden teslim edilmiş kod ZIP’indeki 131 dosyanın yolu, boyutu ve SHA-256 değeri; kodun kendisi değildir.",Bu arşivleme turunda oluşturuldu.,15306,266efdefa85e30fd5b60c75115797b772ac33a0053f4bc1fb8a887eb0034b104,Arşiv çalışması,1.0
REC-13,Arşiv doğrulama raporu,DOGRULAMA-RAPORU.md,03_KAYITLAR/DOGRULAMA-RAPORU.md,"Bu turda yapılan kontroller, önceki testlerin kapsamı ve arşivin sınırları.",Bu arşivleme turunda oluşturuldu.,2000,9ac15fbabcf35bfee57d245196639043e034bc043d7327e92cf9f3345a0536eb,Arşiv çalışması,1.0
