"key","nb","en","tr"
"clientExtra.calendar","Legg til i kalender","Add to calendar","Takvime ekle"
"clientExtra.configured","Tilkoblet; leverandørtest gjenstår","Connected; provider test pending","Bağlı; sağlayıcı testi bekliyor"
"clientExtra.consent_only","Kun etter samtykke","Only with consent","Yalnızca izinle"
"clientExtra.demand","Forventede forespørsler neste uke","Expected requests next week","Gelecek hafta beklenen talepler"
"clientExtra.emailQueue","E-poststatus","Email status","E-posta durumu"
"clientExtra.live","Åpen","Open","Açık"
"clientExtra.mae","Gjennomsnittlig testfeil","Mean test error","Ortalama test hatası"
"clientExtra.manual","Denne avtalen må følges opp manuelt. Ta kontakt før endring.","This agreement needs manual follow-up. Contact us before making changes.","Bu anlaşma manuel takip gerektirir. Değişiklikten önce iletişime geçin."
"clientExtra.messageInbox","Henvendelser","Enquiries","Başvurular"
"clientExtra.noMail","Ingen e-post sendt.","No email sent.","E-posta gönderilmedi."
"clientExtra.noService","Velg en tjeneste først.","Choose a service first.","Önce bir hizmet seçin."
"clientExtra.not_configured","Ikke tilkoblet","Not connected","Bağlı değil"
"clientExtra.offerChanged","Tilbudet er endret. Last siden på nytt og les den nye prisen.","The offer has changed. Reload the page and review the new price.","Teklif değişti. Sayfayı yenileyip yeni ücreti inceleyin."
"clientExtra.preview","Forhåndsvisning","Preview","Önizleme"
"clientExtra.range","Historisk spenn","Historical range","Geçmiş değişkenlik aralığı"
"clientExtra.saved","Lagret.","Saved.","Kaydedildi."
"clientExtra.slotError","Velg en ledig tid først.","Choose an available time first.","Önce uygun bir saat seçin."
"clientExtra.testEmail","Bruk en e-post som slutter på .test eller .invalid i testen.","Use an email ending in .test or .invalid for this test.","Test için .test veya .invalid ile biten bir e-posta kullanın."
"clientExtra.time","Velg en gyldig tid. Klokkeslett som forekommer to ganger ved vintertid kan ikke brukes.","Choose a valid time. Repeated times during the autumn clock change cannot be used.","Geçerli bir saat seçin. Kış saatine geçişte iki kez oluşan saatler kullanılamaz."
"clientExtra.timeZone","Alle klokkeslett vises i Europe/Oslo.","All times are shown in Europe/Oslo.","Tüm saatler Europe/Oslo saat dilimindedir."
"clientExtra.total","Faktiske forespørsler","Real requests","Gerçek talepler"
"texts.add","Legg til","Add","Ekle"
"texts.admin","Administrasjon","Administration","Yönetim"
"texts.adminDenied","Du har ikke tilgang til administrasjonen.","You do not have access to administration.","Yönetim bölümüne erişim yetkiniz yok."
"texts.adminIntro","Samtaler, henvendelser og bruk av innhold. Testdata vises separat.","Calls, enquiries and content use. Test records are shown separately.","Görüşmeler, başvurular ve içerik kullanımı. Test kayıtları ayrı gösterilir."
"texts.adminTitle","Oversikt for NAVIAR CARE","NAVIAR CARE overview","NAVIAR CARE yönetim özeti"
"texts.allow","Tillat analyse","Allow analytics","Analize izin ver"
"texts.analyticsNote","Kun besøk med tillatt analyse. Synlighet og tid på skjermen er tegn på interesse, ikke bevis på at innhold er lest eller forstått.","Only visits with analytics consent. Visibility and time on screen suggest interest; they do not prove content was read or understood.","Yalnızca analiz izni verilen ziyaretler. Görünürlük ve ekranda kalma süresi ilgi göstergesidir; içeriğin okunduğunu veya anlaşıldığını kanıtlamaz."
"texts.analyticsTitle","Bruk av innhold · siste 30 dager","Content use · last 30 days","İçerik kullanımı · son 30 gün"
"texts.back","Tilbake","Back","Geri"
"texts.book","Finn en tid","Find a time","Saat seç"
