anahtar,nb,en,tr
lang,nb,en,tr
title,NAVIAR CARE — Litt hjelp. Mer hverdag.,NAVIAR CARE — A little help. More everyday life.,NAVIAR CARE — Biraz destek. Hayata daha çok yer.
description,"Utforsk planlagt praktisk hverdagsstøtte, selskap og digital hjelp. NAVIAR CARE utvikler en avgrenset pilot i Oslo.","Explore planned practical everyday support, companionship and digital help. NAVIAR CARE is developing a limited Oslo pilot.","Planlanan günlük yaşam desteğini, arkadaşlığı ve dijital yardımı keşfedin. NAVIAR CARE, Oslo için sınırlı bir pilot hazırlıyor."
skip,Hopp til innhold,Skip to content,İçeriğe geç
preview,Utviklingsversjon · Tjenesten er ikke åpnet,Development version · Service has not opened,Geliştirme sürümü · Hizmet henüz açılmadı
navSupport,Støtten vi planlegger,Planned support,Planlanan destek
navProcess,Slik fungerer det,How it works,Nasıl çalışır?
navFamily,For pårørende,For relatives,Yakınlar için
navSafety,Trygghet,Safety,Güvenlik
cta,Finn riktig støtte,Find the right support,Uygun desteği bul
menu,Meny,Menu,Menü
close,Lukk,Close,Kapat
eyebrow,"HVERDAGSSTØTTE, PÅ DINE PREMISSER","EVERYDAY SUPPORT, ON YOUR TERMS",SİZİN TERCİHLERİNİZLE GÜNLÜK DESTEK
hero1,Litt hjelp.,A little help.,Biraz destek.
hero2,Mer hverdag.,More everyday life.,Hayata daha çok yer.
lead,"Praktisk hjelp, hyggelig selskap og følge til avtaler. Vi utvikler en tjeneste der støtten planlegges sammen med deg.","Practical help, friendly company and someone to accompany you. We are developing a service that plans support together with you.","Pratik yardım, keyifli sohbet ve randevulara eşlik. Desteği sizinle birlikte planlayan bir hizmet geliştiriyoruz."
primary,Utforsk støtten,Explore support,Desteği keşfet
secondary,Se hvordan det fungerer,See how it works,Nasıl çalıştığını gör
pilot,Planlagt Oslo-pilot,Proposed Oslo pilot,Planlanan Oslo pilotu
boundary,Praktisk støtte. Ingen helsehjelp.,Practical support. No healthcare.,Günlük yaşam desteği. Tıbbi hizmet içermez.
planEyebrow,ET EKSEMPEL PÅ EN GOD PLAN,AN EXAMPLE OF A THOUGHTFUL PLAN,DÜŞÜNÜLEREK HAZIRLANMIŞ BİR PLAN ÖRNEĞİ
planTitle,Din hverdag.,Your everyday life.,Sizin günlük hayatınız.
planTitle2,Dine valg.,Your choices.,Sizin tercihleriniz.
planText,En rolig tur. Noen små ærender. Tid til en prat. Du er med på å bestemme.,A gentle walk. A few small errands. Time for a conversation. You help decide.,Sakin bir yürüyüş. Birkaç küçük iş. Sohbete ayrılan zaman. Kararların içinde siz varsınız.
plan1,Vi snakker sammen,We talk together,Birlikte konuşuruz
plan1text,Hva vil gjøre dagen enklere?,What would make the day easier?,Gününüzü ne kolaylaştırır?
plan2,Vi avtaler en tydelig plan,We agree a clear plan,Açık bir plan oluştururuz
plan2text,"Oppgaver, tid og pris avklares først.","Tasks, time and price are clarified first.","Önce görev, zaman ve ücret netleşir."
plan3,Vi følger opp,We follow up,Nasıl gittiğini değerlendiririz
plan3text,Du forteller hva som fungerer.,You tell us what works.,Neyin işe yaradığını siz söylersiniz.
example,Illustrert forløp — ingen avtale er bestilt.,Illustrated journey — no appointment is booked.,Örnek hizmet akışı — randevu oluşturulmadı.
promise1,Et tydelig utgangspunkt,A clear starting point,Açık bir başlangıç
promise1text,Du får vite hva hjelpen omfatter.,Know what the support includes.,Desteğin kapsamını bilirsiniz.
promise2,Din mening teller,Your voice matters,Sizin fikriniz önemli
promise2text,Støtten tar utgangspunkt i dine valg.,Support starts with your choices.,"Destek, tercihlerinizden başlar."
promise3,Oversikt før du bestemmer deg,Clarity before you decide,Karardan önce açıklık
promise3text,Pris og vilkår må være avklart.,Price and terms must be agreed.,Ücret ve koşullar netleşmelidir.
supportEyebrow,STØTTE I DET SMÅ,SUPPORT IN THE SMALL THINGS,KÜÇÜK İŞLERDE DESTEK
supportTitle,Hva vil gjøre dagen lettere?,What would make the day easier?,Gününüzü ne kolaylaştırır?
supportText,Velg et område og se hva den planlagte støtten kan omfatte.,Choose an area to see what the planned support could include.,Planlanan desteğin kapsamını görmek için bir alan seçin.
company,Selskap og turfølge,Company and walks,Sohbet ve yürüyüş
companyText,"Tid til en samtale, en tur i nærmiljøet eller følge til en avtale.","Time for a conversation, a local walk or company on the way to an appointment.","Sohbete, yakın çevrede yürüyüşe veya randevuya birlikte gitmeye ayrılan zaman."
errands,Små ærender,Everyday errands,Günlük küçük işler
errandsText,"Planlagt hjelp med handlelister, enkle ærender og daglige rutiner.","Planned support with shopping lists, simple errands and everyday routines.","Alışveriş listeleri, basit işler ve günlük rutinler için planlı destek."
digital,Digital hjelp,Digital help,Dijital yardım
digitalText,"Støtte til mobilen, nettbrettet eller en videosamtale. Du beholder kontrollen.","Support with your phone, tablet or a video call. You stay in control.","Telefon, tablet veya görüntülü görüşme için destek. Kontrol sizde kalır."
select,Velg denne støtten,Choose this support,Bu desteği seç
selected,Valgt,Selected,Seçildi
recommend,"Neste steg, ut fra valget ditt","Your next step, based on your choice",Seçiminize göre sonraki adım
recommendText,"Se hvordan vi avklarer oppgaver, ønsker og grenser før en eventuell avtale.","See how we clarify tasks, preferences and boundaries before a possible agreement.","Olası bir anlaşmadan önce görevleri, tercihleri ve sınırları nasıl netleştirdiğimizi görün."
processEyebrow,FRA BEHOV TIL EN AVTALT PLAN,FROM A NEED TO AN AGREED PLAN,İHTİYAÇTAN ORTAK PLANA
processTitle,En enkel start. Et tydelig neste steg.,A simple start. A clear next step.,Kolay bir başlangıç. Açık bir sonraki adım.
process1,Fortell hva du ønsker,Tell us what you would like,Ne istediğinizi belirtin
process1text,"Velg støtte og en ønsket dato for første kontakt. Det er en forespørsel, ikke en bestilling.","Choose support and a preferred date for first contact. This is a request, not a booking.",Desteği ve ilk iletişim için tercih ettiğiniz tarihi seçin. Bu bir taleptir; rezervasyon değildir.
process2,Vi avklarer sammen,We clarify things together,Birlikte netleştiririz
process2text,"En ansvarlig person vurderer behov, område, oppgaver og hvem som kan avtale hjelpen.","A responsible person reviews needs, location, tasks and who is authorised to arrange support.","Sorumlu bir kişi ihtiyacı, bölgeyi, görevleri ve desteği kimin planlayabileceğini değerlendirir."
process3,Du tar stilling til forslaget,You consider the proposal,Teklifi değerlendirirsiniz
process3text,Du skal få pris og vilkår før du godtar en konkret avtale. Ingen automatisk bestilling.,You should receive the price and terms before accepting a specific arrangement. Nothing is booked automatically.,Somut bir anlaşmayı kabul etmeden önce ücret ve koşullar size açıklanmalıdır. Otomatik rezervasyon yapılmaz.
familyEyebrow,FOR DEG SOM ER PÅRØRENDE,FOR RELATIVES,YAKINLAR İÇİN
familyTitle,Vær med. Gi plass til den andres valg.,Be involved. Leave room for their choices.,Yanında olun. Kendi tercihlerine yer açın.
familyText,"Du kan bidra til å planlegge støtte. Personen som skal få hjelp, skal være med og bestemme. Opplysninger om besøk deles bare innenfor en avklart tillatelse.",You can help plan support. The person receiving help should take part in decisions. Visit information is shared only within an agreed permission.,Desteğin planlanmasına katkıda bulunabilirsiniz. Yardım alacak kişi kararlara katılmalıdır. Ziyaret bilgileri yalnızca belirlenmiş izin kapsamında paylaşılır.
familyPoint1,"Bestilling, betaling og innsyn er ulike tillatelser.","Booking, payment and access are separate permissions.","Rezervasyon, ödeme ve bilgi erişimi ayrı yetkilerdir."
familyPoint2,"Den som betaler, får ikke automatisk se besøksdetaljer.",Paying does not automatically grant access to visit details.,Ödeme yapmak ziyaret ayrıntılarına otomatik erişim sağlamaz.
familyPoint3,"En kjent hjelper er et ønske vi planlegger for, ikke en garanti.","A familiar helper is something to plan for, not a guarantee.",Tanıdık bir yardımcıyla devam etmek planlanan bir tercihtir; garanti değildir.
safetyEyebrow,TYDELIGE GRENSER,CLEAR BOUNDARIES,AÇIK SINIRLAR
safetyTitle,God støtte begynner med å vite hva vi kan gjøre.,Good support starts with knowing what we can do.,"İyi destek, ne yapabileceğimizi bilmekle başlar."
inside,Dette er innenfor konseptet,Within the concept,Konseptin kapsamı
insideText,"Sosialt samvær, enkle ærender og avgrenset digital hjelp.","Companionship, simple errands and clearly scoped digital help.","Sohbet, basit günlük işler ve kapsamı belirlenmiş dijital yardım."
review,Dette må avklares først,Clarify first,Önce netleşmesi gerekenler
reviewText,"Adkomst, nøkler, transport, behov for tilpasning og hvem som kan avtale eller få informasjon.","Home access, keys, transport, adjustments and who may arrange support or receive information.","Eve erişim, anahtarlar, ulaşım, uyarlama ihtiyaçları ve kimin planlama yapabileceği veya bilgi alabileceği."
outside,Dette tilbyr vi ikke,Outside the service,Sunmadığımız hizmetler
outsideText,"Helsevurdering, behandling, medisinhåndtering, personlig hygiene, løft, BankID, passord, banktilgang eller kontanthåndtering.","Health assessments, treatment, medication management, personal hygiene, lifting, BankID, passwords, bank access or handling cash.","Sağlık değerlendirmesi, tedavi, ilaç yönetimi, kişisel hijyen, kaldırma, BankID, şifre, banka hesabına erişim ve nakit işlemleri."
emergency,Ved fare for liv og helse: ring 113. Ved akutt hjelp som ikke er livstruende: legevakt 116 117. NAVIAR CARE er ikke en akuttjeneste.,"For danger to life or health in Norway, call 113. For urgent non-life-threatening help, call the medical service on 116 117. NAVIAR CARE is not an emergency service.",Norveç’te yaşam veya sağlık için ciddi tehlike varsa 113’ü arayın. Hayati olmayan acil sağlık yardımı için 116 117. NAVIAR CARE acil müdahale hizmeti değildir.
bookingEyebrow,UTFORSK EN FØRSTE KONTAKT,EXPLORE A FIRST CONVERSATION,İLK GÖRÜŞMEYİ KEŞFEDİN
bookingTitle,La oss begynne med det som er viktig for deg.,Let’s begin with what matters to you.,Sizin için önemli olandan başlayalım.
bookingText,"Test forespørselsflyten. Bruk oppdiktede opplysninger. Ingen hjelper bestilles, ingen betaling tas og ingen e-post sendes automatisk i denne versjonen.","Test the request journey. Use fictional details. No helper is booked, no payment is taken and no email is sent automatically in this version.","Talep akışını deneyin. Hayali bilgiler kullanın. Bu sürümde yardımcı rezervasyonu yapılmaz, ücret alınmaz ve otomatik e-posta gönderilmez."
forWhom,Hvem utforsker du støtte for?,Who are you exploring support for?,Kimin için destek arıyorsunuz?
self,For meg,For myself,Kendim için
family,For en nær person,For someone close to me,Bir yakınım için
name,Ditt navn,Your name,Adınız
email,Din e-post,Your email,Kendi e-posta adresiniz
postcode,Postnummer,Postcode,Posta kodu
service,Ønsket støtte,Preferred support,İstenen destek
date,Ønsket dato for første kontakt,Preferred first-contact date,İlk iletişim için tercih edilen tarih
dateHint,En ønsket dato de neste 90 dagene. Ingen ledig time er bekreftet.,A preferred date in the next 90 days. No available appointment is confirmed.,Önümüzdeki 90 gün içinde tercih edilen tarih. Müsait bir saat doğrulanmış değildir.
consent,Jeg har lest informasjonen om denne testforespørselen og personvern.,I have read the information about this test request and privacy.,Bu deneme talebi ve kişisel veriler hakkındaki bilgileri okudum.
privacy,Personvern,Privacy,Kişisel veriler
terms,Vilkår,Terms,Koşullar
submit,Send testforespørsel,Send a test request,Deneme talebi gönder
sending,Lagrer testforespørselen …,Saving your test request …,Deneme talebi kaydediliyor …
cost,Pris avklares før avtale,Price agreed before commitment,Anlaşmadan önce ücret açıklanır
costText,"Pris, tjenesteområde og vilkår er ikke fastsatt for lansering. Denne utviklingsversjonen krever ingen betaling.","Launch prices, service areas and terms have not been set. This development version requires no payment.","Açılış fiyatları, hizmet bölgesi ve koşullar henüz belirlenmedi. Bu geliştirme sürümünde ödeme gerekmez."
