table,column,type,not_null,default,primary_key,foreign_key
audit,id,TEXT,1,,1,
audit,actor,TEXT,1,,0,
audit,action,TEXT,1,,0,
audit,target,TEXT,1,,0,
audit,created,INTEGER,1,,0,
bookings,id,TEXT,1,,1,
bookings,slot_id,TEXT,1,,0,slots.id
bookings,owner,TEXT,1,,0,
bookings,idem,TEXT,1,,0,
bookings,service,TEXT,1,,0,
bookings,name,TEXT,1,,0,
bookings,email,TEXT,1,,0,
bookings,locale,TEXT,1,,0,
bookings,relationship,TEXT,1,,0,
bookings,status,TEXT,1,'confirmed',0,
bookings,demo,INTEGER,1,,0,
bookings,created,INTEGER,1,,0,
bookings,total,INTEGER,0,,0,
bookings,offer_version,INTEGER,1,0,0,
bookings,payment,TEXT,1,'not_requested',0,
bookings,stripe_session,TEXT,0,,0,
bookings,offer_details,TEXT,0,,0,
bookings,checkout_started,INTEGER,0,,0,
events,id,TEXT,1,,1,
events,session,TEXT,1,,0,
events,kind,TEXT,1,,0,
events,section,TEXT,1,,0,
events,locale,TEXT,1,,0,
events,day,TEXT,1,,0,
events,created,INTEGER,1,,0,
events,live,INTEGER,1,0,0,
messages,id,TEXT,1,,1,
messages,owner,TEXT,1,,0,
messages,idem,TEXT,1,,0,
messages,name,TEXT,1,,0,
messages,email,TEXT,1,,0,
messages,topic,TEXT,1,,0,
messages,body,TEXT,1,,0,
messages,locale,TEXT,1,,0,
messages,demo,INTEGER,1,,0,
messages,created,INTEGER,1,,0,
messages,status,TEXT,1,'new',0,
messages,version,INTEGER,1,0,0,
messages,updated,INTEGER,0,,0,
outbox,id,TEXT,1,,1,
outbox,booking_id,TEXT,1,,0,
outbox,kind,TEXT,1,,0,
outbox,state,TEXT,1,'pending',0,
outbox,attempts,INTEGER,1,0,0,
outbox,provider_id,TEXT,0,,0,
outbox,created,INTEGER,1,,0,
outbox,last_attempt,INTEGER,0,,0,
rate_limits,key,TEXT,1,,1,
rate_limits,count,INTEGER,1,,0,
rate_limits,expires,INTEGER,1,,0,
slots,id,TEXT,1,,1,
slots,start,INTEGER,1,,0,
slots,end,INTEGER,1,,0,
slots,demo,INTEGER,1,1,0,
slots,active,INTEGER,1,1,0,
webhook_events,id,TEXT,1,,1,
webhook_events,created,INTEGER,1,,0,
