no,dosya,arsiv_yolu,grup,kaynak,surum,kaynak_degistirme_tarihi,bayt,sha256,ayni_icerik_kopya_sayisi
NC-ARS-001,00_OKU-BENI.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/00_OKU-BENI.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,1768,1bd38953b2334be475ed308dece5f06f78f9b7df6cc848006eca3d26a162d0de,1
NC-ARS-002,01_PROJE-KIMLIGI.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/01_PROJE-KIMLIGI.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,2262,bc41af0eb47a20622c39aba70f169af694d9e1237443f3fdcd976d3141d370f7,2
NC-ARS-003,02_KONSEPT-VE-IS-MODELI.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/02_KONSEPT-VE-IS-MODELI.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,2829,4ef11a1e6604c778a4ce197f5062875b8b8cda50f7175ac0952d9cf800a1ffd6,2
NC-ARS-004,03_HIZMET-TASARIMI.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/03_HIZMET-TASARIMI.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,2849,9159fa3e8079c93819048ed2f17b1849d012df1b11fc99ed817d089754aaa7a3,2
NC-ARS-005,04_MARKA-VE-TASARIM.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/04_MARKA-VE-TASARIM.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,2966,7dfa32de9bf45ac6eb539a56810bb19922ccbed9c9bd12973112faf5aa3d3a4a,2
NC-ARS-006,05_WEB-SAYFASI-NASIL-YAPILDI.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/05_WEB-SAYFASI-NASIL-YAPILDI.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,3927,7ece56e162a6ce0c4a8658dd01cbed70de31545673801de5bcd05ae837e60d07,2
NC-ARS-007,06_SAYFA-VE-DOSYA-HARITASI.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/06_SAYFA-VE-DOSYA-HARITASI.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,3172,64db2ecc9b2e260bc6a4da6c9bc58c9209614dced5c689036391779f4a9ac2a3,2
NC-ARS-008,07_MIMARI-VE-VERI.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/07_MIMARI-VE-VERI.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,3344,dc8d8581c1d1cdfe55c5ef2c6368c36c1254f0c8756c7d71b825abaf71d6492c,2
NC-ARS-009,08_REZERVASYON-AKISI.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/08_REZERVASYON-AKISI.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,3040,9bad401dbedc103ad693fe300f00bebc633a2abc730bdcda53513b5dbef1f725,2
NC-ARS-010,09_API-REFERANSI.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/09_API-REFERANSI.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,3865,cdda8923a9dbb60e2b7b66fcb531c1cf63702de18dba4328ca12cb2c7a4b656e,2
NC-ARS-011,10_ODEME-SISTEMI.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/10_ODEME-SISTEMI.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,3133,2e9ad1c6affd29ffc679ec3d61f26995bfb5c786e0ffbee30ec11306822e5e75,2
NC-ARS-012,11_EPOSTA-SISTEMI.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/11_EPOSTA-SISTEMI.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,2652,bd3dfc21bc412ba4dcab4d997258f08b2bf9bbd65269b7e1a809e89c4d81c7dd,2
NC-ARS-013,12_KULLANIM-REHBERI.md,01_GUNCEL_NAVIAR_CARE_1/BELGELER/01_BELGELER/12_KULLANIM-REHBERI.md,NAVIAR CARE 1 — son belgelenmiş teslim,DOC-012 belge paketi / v1.0,,,3100,9294ba5208331ba786d893e333dd425d7bba97c2b4d90a2bd2d251ae911f3da8,2
